Nearest Ensembl,Gene Name,Gene Type,crel_mouse Best Motif log-odds Score,p65_p50_mouse Best Motif log-odds Score,crel_p50_mouse Best Motif log-odds Score
ENSMUSG00000039735,Fnbp1l,protein-coding,3.10132,4.976195,7.416081
ENSMUSG00000041406,BC055324,protein-coding,4.028579,5.75927,4.633171
ENSMUSG00000029267,Mtf2,protein-coding,3.029037,7.684821,8.698623
ENSMUSG00000022269,11-Mar,protein-coding,10.786129,10.870392,10.874911
ENSMUSG00000029196,Tada2b,protein-coding,9.30991,2.847684,2.941552
ENSMUSG00000027281,Slx4ip,protein-coding,5.371975,3.323414,5.54818
ENSMUSG00000087475,4933406I18Rik,ncRNA,3.621814,1.968354,4.853736
ENSMUSG00000044700,Tmem201,protein-coding,1.581486,3.676663,2.569613
ENSMUSG00000050379,6-Sep,protein-coding,2.976569,5.199738,7.977205
ENSMUSG00000052477,C130026I21Rik,protein-coding,4.375595,9.655624,10.230126
ENSMUSG00000021377,Dek,protein-coding,3.34729,0.955365,3.199699
ENSMUSG00000039634,Zfp189,protein-coding,1.879925,2.618027,2.079237
ENSMUSG00000064127,Med14,protein-coding,2.295175,4.3701,4.165566
ENSMUSG00000041359,Tcl1,protein-coding,3.694097,2.727095,2.962881
ENSMUSG00000087519,AV039307,ncRNA,4.577539,4.508228,5.888406
ENSMUSG00000047330,Kcne4,protein-coding,9.237627,6.513643,7.657075
ENSMUSG00000094065,Gm21541,protein-coding,9.054574,6.933228,7.709705
,Ggh,protein-coding,3.046451,2.02796,1.669053
ENSMUSG00000083012,Fam220a,protein-coding,2.347644,3.930259,2.370761
ENSMUSG00000039936,Pik3cd,protein-coding,2.347644,0.373608,1.858261
ENSMUSG00000036644,Tbc1d9b,protein-coding,2.446604,3.259682,3.154889
ENSMUSG00000098802,Mir7046,ncRNA,3.347185,4.254588,3.563364
ENSMUSG00000079592,C1qtnf5,protein-coding,3.958392,1.03821,5.019131
ENSMUSG00000028125,Abca4,protein-coding,6.222431,4.984906,7.260758
ENSMUSG00000055333,Fat2,protein-coding,4.37549,4.386128,5.475553
ENSMUSG00000095161,Gm4305,protein-coding,5.425652,1.523255,0.508326
ENSMUSG00000029076,Sdf4,protein-coding,0.95057,7.143565,7.096299
ENSMUSG00000021314,Amph,protein-coding,9.30991,4.533691,6.913419
ENSMUSG00000054477,Kcnn2,protein-coding,7.653147,6.691879,8.267524
,Triqk,protein-coding,2.388403,-0.455639,2.084846
ENSMUSG00000079120,AY761185,protein-coding,5.604912,1.823951,3.519481
ENSMUSG00000028708,Mknk1,protein-coding,1.297482,1.89452,3.77045
ENSMUSG00000024770,Lipn,protein-coding,5.331216,3.820899,2.316433
ENSMUSG00000000838,Fmr1,protein-coding,1.444557,1.505145,2.268074
ENSMUSG00000031553,Adam3,protein-coding,3.048852,0.798266,0.709751
ENSMUSG00000025576,Rbfox3,protein-coding,5.577185,1.043369,4.250875
ENSMUSG00000044798,Olfr923,protein-coding,5.923992,6.703272,3.695582
ENSMUSG00000037787,Apopt1,protein-coding,2.886638,5.623108,5.232573
ENSMUSG00000035062,Zc4h2,protein-coding,2.295175,4.603147,5.731756
ENSMUSG00000028545,Bend5,protein-coding,3.141975,7.229111,6.692507
ENSMUSG00000074155,Klk5,protein-coding,3.694097,-0.542645,3.586874
ENSMUSG00000023257,Cypt1,protein-coding,3.141975,1.530971,1.624585
ENSMUSG00000040583,Cyp2b13,protein-coding,3.10132,2.129836,5.54818
ENSMUSG00000049122,Frmd3,protein-coding,10.786129,6.174734,7.731359
ENSMUSG00000071078,Nr2c2ap,protein-coding,4.712068,4.100409,5.049688
ENSMUSG00000032806,Slc10a3,protein-coding,5.170316,3.323414,3.563364
,Serpinb9b,protein-coding,5.278747,3.061366,6.399623
ENSMUSG00000060985,Tdrd5,protein-coding,6.179433,4.847927,6.912122
ENSMUSG00000064137,Rhox8,protein-coding,7.655653,6.513643,6.804711
ENSMUSG00000017309,Cd300lg,protein-coding,0.95057,3.323414,3.563364
ENSMUSG00000030236,Slco1b2,protein-coding,6.176928,5.307585,5.466782
ENSMUSG00000107121,1110006O24Rik,ncRNA,5.371975,7.251959,7.416081
ENSMUSG00000101225,1700008J07Rik,ncRNA,9.237627,13.524082,12.320252
ENSMUSG00000021095,Gsc,protein-coding,6.222431,2.550118,2.413095
ENSMUSG00000085998,AW822252,ncRNA,2.347644,6.58039,7.416081
ENSMUSG00000026895,Ndufa8,protein-coding,4.028579,5.414439,3.983203
ENSMUSG00000026207,Speg,protein-coding,3.34729,5.701868,5.616856
ENSMUSG00000041468,Gpr12,protein-coding,8.406823,1.870609,1.896135
ENSMUSG00000021363,Mak,protein-coding,3.727739,1.074324,5.173518
ENSMUSG00000023868,Pde10a,protein-coding,4.375595,9.655624,10.230126
ENSMUSG00000075706,Gpx4,protein-coding,5.425652,2.407079,5.54818
ENSMUSG00000098624,Mir7036,ncRNA,0.827915,5.139093,7.397313
ENSMUSG00000073411,H2-D1,protein-coding,7.655653,8.959896,10.615149
ENSMUSG00000030737,Slco2b1,protein-coding,4.63205,9.045442,10.211357
ENSMUSG00000062609,Kcnj15,protein-coding,6.860827,9.289168,8.54164
ENSMUSG00000012296,Tjap1,protein-coding,7.655653,9.868888,9.953858
ENSMUSG00000001576,Ergic1,protein-coding,3.34729,6.126328,4.767711
ENSMUSG00000039826,Trub2,protein-coding,6.752396,0.671754,3.366658
ENSMUSG00000041346,Wrap53,protein-coding,8.300898,2.927807,5.815417
ENSMUSG00000032596,Uba7,protein-coding,3.069796,2.279537,2.24904
ENSMUSG00000004460,Dnajb11,protein-coding,2.976569,4.154713,5.753411
ENSMUSG00000058019,Ces5a,protein-coding,9.30991,5.832296,5.740898
,7420700N18Rik,ncRNA,6.179433,2.385964,3.499553
ENSMUSG00000013275,Slc41a1,protein-coding,7.655548,8.271473,10.633918
ENSMUSG00000034928,Rnf44,protein-coding,3.018398,2.640374,5.049688
ENSMUSG00000010517,Faf1,protein-coding,3.823368,-1.118551,0.331119
ENSMUSG00000039473,Ubn1,protein-coding,5.276241,1.86397,4.035446
ENSMUSG00000078612,1700024P16Rik,protein-coding,3.823368,5.71639,4.182517
,Efcab1,protein-coding,7.506072,7.214783,6.159925
ENSMUSG00000062037,Olfr285,protein-coding,5.276241,6.361859,7.467415
ENSMUSG00000033295,Ptprf,protein-coding,3.823368,2.061197,3.538518
ENSMUSG00000094116,Gm11237,protein-coding,9.991304,6.170261,6.39531
ENSMUSG00000080574,Mir466i,ncRNA,9.054574,3.722916,4.071823
ENSMUSG00000023045,Soat2,protein-coding,7.655548,7.324445,5.740898
ENSMUSG00000049300,Prmt6,protein-coding,5.425652,3.013353,5.870574
ENSMUSG00000002963,Pnkp,protein-coding,11.539806,7.090978,5.70787
ENSMUSG00000028341,Nr4a3,protein-coding,3.091849,0.306383,1.514044
ENSMUSG00000027361,Gabpb1,protein-coding,6.824679,6.522379,7.436859
ENSMUSG00000020513,Tubd1,protein-coding,3.10132,3.080578,3.938483
ENSMUSG00000029804,Herc3,protein-coding,5.170421,2.468359,6.159925
ENSMUSG00000045111,Taar6,protein-coding,4.375595,10.432619,10.230126
ENSMUSG00000030427,Lilra6,protein-coding,5.577081,2.537623,3.344585
ENSMUSG00000059182,Skap2,protein-coding,3.10132,1.54322,1.40137
ENSMUSG00000039725,Trp53rka,protein-coding,3.347185,4.366979,5.008704
,Tmem28,protein-coding,5.425757,4.274156,4.38743
ENSMUSG00000035226,Rims4,protein-coding,1.543452,3.823419,3.48937
ENSMUSG00000063268,Parp10,protein-coding,8.409224,2.22626,3.32237
ENSMUSG00000001062,Vps9d1,protein-coding,3.691696,-0.933732,1.95797
ENSMUSG00000042742,B630005N14Rik,protein-coding,3.089448,0.980767,1.702175
,A230072C01Rik,ncRNA,5.331216,2.261308,4.79597
ENSMUSG00000037720,Tmem33,protein-coding,3.823368,6.428097,7.253283
,1700092E19Rik,ncRNA,6.176928,3.058231,4.568403
ENSMUSG00000045267,Tas2r119,protein-coding,0.95057,3.417369,2.80842
ENSMUSG00000020600,Slc7a15,protein-coding,11.539806,7.309481,9.550066
ENSMUSG00000029710,Ephb4,protein-coding,3.782714,3.962904,4.27253
ENSMUSG00000061576,Dpp6,protein-coding,4.618299,4.088903,5.710979
ENSMUSG00000036256,Igfbp7,protein-coding,5.276241,-0.239134,0.323275
ENSMUSG00000065417,Mir340,ncRNA,5.331216,0.621566,1.232107
ENSMUSG00000058831,Opn1sw,protein-coding,3.691696,2.808423,6.464472
ENSMUSG00000096220,Olfr775,protein-coding,1.499068,3.829609,3.730363
ENSMUSG00000073785,Krtap5-5,protein-coding,6.860827,5.3891,8.26882
ENSMUSG00000091528,Gm9268,protein-coding,4.577539,2.971226,4.326113
ENSMUSG00000055942,Obox7,protein-coding,8.409329,10.037012,10.633918
ENSMUSG00000057649,Brd9,protein-coding,4.618299,2.137687,1.865736
ENSMUSG00000055547,Apobec4,protein-coding,3.163566,2.934158,4.888185
ENSMUSG00000022000,Zc3h13,protein-coding,3.621814,3.939906,1.617268
ENSMUSG00000032178,Ilf3,protein-coding,4.712068,3.323414,3.563364
ENSMUSG00000049550,Clip1,protein-coding,9.237627,3.268417,6.804711
ENSMUSG00000028229,Rmdn1,protein-coding,6.104645,1.054659,5.049688
ENSMUSG00000104234,5330439B14Rik,ncRNA,8.707662,3.239107,3.227962
ENSMUSG00000038623,Tm6sf1,protein-coding,3.878374,7.374008,8.236967
ENSMUSG00000021765,Fst,protein-coding,1.799907,4.658156,6.637628
ENSMUSG00000068506,Gm5800,protein-coding,6.860722,4.156172,4.975074
,Gpr26,protein-coding,8.409329,7.401038,8.267524
ENSMUSG00000095376,Gm22109,rRNA,4.618299,2.066469,2.17336
ENSMUSG00000021959,Lats2,protein-coding,3.730245,7.372549,7.458514
ENSMUSG00000040987,Mill2,protein-coding,6.179433,3.107309,2.052916
ENSMUSG00000032454,Rbp2,protein-coding,5.577081,3.589637,4.975074
ENSMUSG00000034913,Spert,protein-coding,9.054574,6.143033,6.022074
ENSMUSG00000058794,Nfe2,protein-coding,2.198233,2.280458,2.794611
ENSMUSG00000054759,Krtap5-2,protein-coding,5.331216,3.372467,4.567107
,Rad51d,protein-coding,3.878374,4.241718,6.128073
ENSMUSG00000018341,Il12rb2,protein-coding,8.556234,5.746749,7.317211
ENSMUSG00000039236,Isg20,protein-coding,7.506072,3.814708,3.694286
ENSMUSG00000034833,Tespa1,protein-coding,3.11968,6.513643,7.467415
ENSMUSG00000066363,Serpina3f,protein-coding,5.577185,4.733693,7.253283
ENSMUSG00000024471,Myot,protein-coding,-0.137588,5.106744,6.022074
ENSMUSG00000030775,Trat1,protein-coding,3.11968,10.017052,9.833809
ENSMUSG00000021379,Id4,protein-coding,2.329872,5.136698,3.602624
ENSMUSG00000031728,Zfp821,protein-coding,2.40989,2.34665,4.01376
,Gm14288,protein-coding,5.371975,0.631427,5.050984
ENSMUSG00000064901,Snora21,snoRNA,5.37187,2.040378,4.249579
ENSMUSG00000031543,Ank1,protein-coding,3.142079,0.825152,0.995237
ENSMUSG00000069300,Hist1h2bj,protein-coding,3.029037,-0.00598,1.95797
ENSMUSG00000043424,Eif3j2,protein-coding,5.425757,-0.15178,3.345178
ENSMUSG00000031788,Kifc3,protein-coding,3.029037,3.013353,3.563364
ENSMUSG00000065529,Mir22,ncRNA,4.577539,4.711138,6.425866
ENSMUSG00000037032,Apbb1,protein-coding,6.752396,1.597736,6.496325
ENSMUSG00000019951,Uhrf1bp1l,protein-coding,7.655548,2.416788,4.832081
ENSMUSG00000048371,Pdp2,protein-coding,2.940421,2.294303,5.54818
ENSMUSG00000024340,Btnl2,protein-coding,1.501469,5.614763,8.250051
ENSMUSG00000032202,Rab27a,protein-coding,6.071002,1.689347,1.918314
ENSMUSG00000033737,Fndc3c1,protein-coding,5.923992,1.307119,2.257717
ENSMUSG00000085887,Arhgap27os3,ncRNA,5.37187,9.921109,10.471119
ENSMUSG00000020776,Fbf1,protein-coding,7.655548,3.805894,2.893825
ENSMUSG00000046643,Olfr218,protein-coding,5.604912,5.479144,5.466876
ENSMUSG00000024552,Slc14a2,protein-coding,4.525071,4.968973,5.647412
ENSMUSG00000020453,Patz1,protein-coding,0.895596,1.58663,3.100009
ENSMUSG00000030008,Pradc1,protein-coding,6.107046,3.063011,3.369106
ENSMUSG00000104553,9330178D15Rik,ncRNA,5.331216,3.043903,1.390658
,Zfp59,protein-coding,8.556234,6.783038,6.14469
ENSMUSG00000052142,Rasal3,protein-coding,6.104645,3.719567,6.003306
ENSMUSG00000060962,Dmkn,protein-coding,2.791114,3.596198,6.496325
ENSMUSG00000025209,Peo1,protein-coding,6.752396,2.014355,2.895127
,Tmem181c-ps,pseudo,7.655548,2.956958,5.612108
ENSMUSG00000026479,Lamc2,protein-coding,6.752396,4.5176,4.886889
ENSMUSG00000004864,Mapk13,protein-coding,3.018398,5.700309,7.844963
ENSMUSG00000095887,Gm10096,protein-coding,7.506072,7.926489,7.833175
ENSMUSG00000031826,Usp10,protein-coding,4.522565,2.482473,4.271234
ENSMUSG00000020018,Snrpf,protein-coding,3.069796,3.979312,5.636365
ENSMUSG00000078952,Lncenc1,ncRNA,8.406823,8.398679,8.545815
ENSMUSG00000041459,Tardbp,protein-coding,7.655653,7.654015,9.169808
ENSMUSG00000086715,B230112J18Rik,ncRNA,3.730245,7.374008,8.236967
ENSMUSG00000024188,Luc7l,protein-coding,2.200634,2.925197,2.809412
ENSMUSG00000031996,Aplp2,protein-coding,7.655548,7.495682,8.142023
ENSMUSG00000029049,Morn1,protein-coding,4.028683,7.214783,8.525023
ENSMUSG00000031608,Galnt7,protein-coding,7.655548,3.411831,4.307345
ENSMUSG00000099031,Mir7240,ncRNA,3.091849,4.486945,6.495028
ENSMUSG00000052429,Prmt1,protein-coding,6.860722,9.045442,9.309073
ENSMUSG00000054770,Kctd18,protein-coding,5.331216,6.452116,6.736022
ENSMUSG00000024059,Clip4,protein-coding,10.786129,6.953188,8.509813
ENSMUSG00000054999,Naaladl1,protein-coding,5.425757,2.85118,2.301314
ENSMUSG00000028035,Dnajb4,protein-coding,4.375595,10.691913,10.230126
ENSMUSG00000028086,Fbxw7,protein-coding,6.752396,9.081786,7.840651
ENSMUSG00000079608,Stard6,protein-coding,5.425757,5.843883,6.425866
ENSMUSG00000036053,Fmnl2,protein-coding,2.539832,2.662322,7.416081
ENSMUSG00000033589,Reep4,protein-coding,2.845984,5.260318,7.260758
,B230110G15Rik,ncRNA,5.921591,3.136974,4.425328
,Rad51d,protein-coding,3.878374,4.241718,6.128073
ENSMUSG00000086379,1700026D11Rik,ncRNA,4.525071,3.565202,5.612108
ENSMUSG00000046699,Slitrk4,protein-coding,3.782714,4.317576,3.538518
ENSMUSG00000007480,Mc5r,protein-coding,3.11968,4.240027,7.012289
ENSMUSG00000033021,Gmppa,protein-coding,3.091954,4.819239,4.934711
ENSMUSG00000027859,Ngf,protein-coding,9.991304,5.740131,8.106021
ENSMUSG00000028683,Eif2b3,protein-coding,7.15916,4.439331,4.924187
ENSMUSG00000039911,Spsb1,protein-coding,9.054574,8.028365,9.310369
ENSMUSG00000027935,Rab13,protein-coding,3.878374,3.278577,5.468078
,4930591E09Rik,ncRNA,5.604912,7.494595,6.9335
,l7Rn6,protein-coding,4.618194,3.626972,4.666321
ENSMUSG00000096152,Gm16442,protein-coding,3.694202,4.329749,6.022074
ENSMUSG00000017692,Rhbdl3,protein-coding,-0.029157,0.670123,1.221751
ENSMUSG00000045802,Hsf3,protein-coding,6.824679,3.830695,8.45763
ENSMUSG00000030357,Fkbp4,protein-coding,5.921591,0.041846,0.560956
ENSMUSG00000007877,Tcap,protein-coding,3.142079,2.385588,6.495028
ENSMUSG00000086277,4930558K02Rik,protein-coding,6.858321,2.381413,6.496325
ENSMUSG00000026679,Enkur,protein-coding,5.331216,4.078734,3.32237
ENSMUSG00000076455,Mir767,ncRNA,0.656743,6.513643,5.411625
ENSMUSG00000041836,Ptpre,protein-coding,8.556234,3.863141,6.400919
ENSMUSG00000002058,Unc119,protein-coding,6.860722,4.933167,5.480787
ENSMUSG00000056288,Gm11961,ncRNA,2.200739,0.156521,4.035446
ENSMUSG00000035161,Ints6,protein-coding,9.991304,7.38853,6.06068
ENSMUSG00000079055,Slc8a3,protein-coding,7.506072,9.816247,6.803415
ENSMUSG00000027593,Raly,protein-coding,3.694097,3.809824,7.012289
,Stap1,protein-coding,2.47433,5.005733,5.991518
ENSMUSG00000079710,Gm3448,protein-coding,4.52267,5.964644,8.509813
ENSMUSG00000072694,1500011B03Rik,ncRNA,5.425757,0.888684,1.663913
ENSMUSG00000020598,Nrcam,protein-coding,0.652132,-0.940252,0.916319
ENSMUSG00000031931,Ankrd49,protein-coding,6.824679,1.612393,4.645896
ENSMUSG00000106252,Mir684-1,ncRNA,11.539806,4.544989,7.012289
ENSMUSG00000035653,Lrfn5,protein-coding,6.858321,7.897937,8.013806
ENSMUSG00000004872,Pax3,protein-coding,8.300898,3.424377,4.299732
ENSMUSG00000032204,Aqp9,protein-coding,0.692891,4.242744,5.647412
ENSMUSG00000045078,Rnf216,protein-coding,2.366004,5.949496,4.647192
ENSMUSG00000004207,Psap,protein-coding,5.170316,6.716141,6.155046
ENSMUSG00000038102,Trappc11,protein-coding,3.730245,4.759205,4.699349
ENSMUSG00000051306,Usp42,protein-coding,3.691696,2.600615,3.625124
ENSMUSG00000086262,A930031H19Rik,ncRNA,2.886638,7.109276,4.299732
ENSMUSG00000024539,Ptpn2,protein-coding,4.577539,4.824857,5.77275
ENSMUSG00000039883,Lrrc17,protein-coding,3.694202,3.551357,5.019131
ENSMUSG00000092985,Mir378b,ncRNA,5.167915,6.318796,6.668156
ENSMUSG00000029465,Arpc3,protein-coding,6.824679,3.323414,3.563364
ENSMUSG00000028089,Chd1l,protein-coding,2.482173,4.049642,3.602624
ENSMUSG00000025225,Nfkb2,protein-coding,10.786129,13.214021,12.320252
ENSMUSG00000031286,Glt28d2,protein-coding,2.402155,3.607657,5.411625
ENSMUSG00000029660,Tex26,protein-coding,2.402155,4.019689,6.022074
,Hist1h2bm,protein-coding,3.344784,0.185343,2.277799
ENSMUSG00000034601,2700049A03Rik,protein-coding,2.444098,3.599295,3.570839
ENSMUSG00000087668,Gm11186,ncRNA,3.782714,1.497836,1.923766
ENSMUSG00000042271,Nxt2,protein-coding,1.648479,5.986485,5.411625
ENSMUSG00000098658,Mir6338,ncRNA,6.477767,7.043997,9.309073
ENSMUSG00000043592,Unc5cl,protein-coding,3.508502,3.498364,5.884579
ENSMUSG00000087343,1700021N21Rik,ncRNA,6.860827,5.069265,8.267524
ENSMUSG00000032680,6820408C15Rik,protein-coding,7.506072,6.452116,6.696683
ENSMUSG00000029836,Cbx3,protein-coding,4.028579,3.555414,7.416081
ENSMUSG00000096333,Gm13871,protein-coding,3.083548,4.980816,5.411625
ENSMUSG00000047583,Tyw3,protein-coding,2.974063,7.587877,8.104725
ENSMUSG00000028857,Tmem222,protein-coding,6.752396,5.562122,3.101869
ENSMUSG00000051048,P4ha3,protein-coding,9.237627,7.093099,7.657075
ENSMUSG00000027259,Adal,protein-coding,3.691696,4.084368,6.399623
ENSMUSG00000020262,Adarb1,protein-coding,3.621919,3.813249,4.208951
ENSMUSG00000019843,Fyn,protein-coding,8.707662,3.294834,4.439587
ENSMUSG00000090356,Teddm3,protein-coding,0.652132,0.297461,1.428059
ENSMUSG00000037944,Ccr7,protein-coding,9.991304,8.165526,6.696683
ENSMUSG00000058935,1700018C11Rik,protein-coding,5.331216,6.08566,6.180718
ENSMUSG00000038179,Slamf7,protein-coding,8.409329,4.30622,8.267524
ENSMUSG00000070616,Gm13040,protein-coding,5.923992,3.445575,3.243082
ENSMUSG00000029802,Abcg2,protein-coding,3.621919,9.816247,9.970364
ENSMUSG00000073877,Gm13306,protein-coding,1.338136,3.960809,5.208316
ENSMUSG00000043572,Pars2,protein-coding,9.237627,2.466959,5.291977
ENSMUSG00000073402,Gm8909,protein-coding,3.347185,4.138483,4.425328
ENSMUSG00000007338,Mrpl49,protein-coding,4.028579,4.54382,4.397352
ENSMUSG00000026034,Clk1,protein-coding,3.142079,3.323414,3.563364
ENSMUSG00000063511,Snrnp70,protein-coding,6.179329,4.096939,3.792828
,9530091C08Rik,ncRNA,5.331216,6.927786,9.169808
ENSMUSG00000079628,Rhox4g,protein-coding,3.048852,4.486197,5.763609
ENSMUSG00000025316,Banp,protein-coding,8.300898,4.298461,4.270004
ENSMUSG00000015501,Hivep2,protein-coding,6.179433,10.838014,9.278516
ENSMUSG00000024397,Aif1,protein-coding,0.561114,0.466034,5.170632
ENSMUSG00000038165,1700022A21Rik,pseudo,3.782714,0.626101,1.354742
ENSMUSG00000021690,Jmy,protein-coding,3.11968,0.153269,2.670569
ENSMUSG00000095768,Vmn1r111,protein-coding,5.331216,0.609741,3.046527
ENSMUSG00000058966,Fam57b,protein-coding,5.371975,3.09966,5.291977
ENSMUSG00000075156,Olfr1128,protein-coding,3.141975,2.261308,1.602058
ENSMUSG00000095486,Vmn2r22,protein-coding,2.198233,6.142055,6.692507
ENSMUSG00000029472,Anapc5,protein-coding,0.82781,1.961078,4.32741
ENSMUSG00000056941,Commd7,protein-coding,4.52267,8.299538,8.509813
ENSMUSG00000058773,Hist1h1b,protein-coding,6.104645,2.502581,5.622465
,A730090N16Rik,ncRNA,3.782714,3.804361,5.555655
,Angpt4,protein-coding,9.054574,5.601238,4.660303
ENSMUSG00000071252,2210408I21Rik,protein-coding,7.655653,3.656123,6.803415
,Usp15,protein-coding,3.694202,5.640125,5.460858
ENSMUSG00000022983,Scaf4,protein-coding,5.170316,2.800997,3.723139
ENSMUSG00000024862,Klc2,protein-coding,8.300898,6.847682,8.113497
ENSMUSG00000098765,Mir7685,ncRNA,3.823368,3.166125,3.602624
ENSMUSG00000094658,Rbmy,protein-coding,3.344784,3.013353,3.563364
ENSMUSG00000095376,Gm22109,rRNA,4.618299,2.066469,2.17336
ENSMUSG00000036885,Arhgef26,protein-coding,9.237627,4.780352,7.657075
ENSMUSG00000052911,Lamb2,protein-coding,9.30991,2.984773,4.108435
ENSMUSG00000057135,Scimp,protein-coding,4.028683,8.41105,8.369699
ENSMUSG00000018548,Trim37,protein-coding,4.37549,2.22626,3.329846
ENSMUSG00000060260,Pwwp2b,protein-coding,4.63205,5.627723,5.710979
ENSMUSG00000085582,3110099E03Rik,ncRNA,9.054574,6.937404,7.708408
ENSMUSG00000061535,C1qtnf7,protein-coding,4.851235,6.429886,5.870668
,Gpr182,protein-coding,2.366004,5.86395,7.467415
ENSMUSG00000000530,Acvrl1,protein-coding,3.142079,2.07304,2.928068
ENSMUSG00000027858,Tspan2,protein-coding,8.409329,7.942819,9.714161
,Gm16381,protein-coding,6.071002,-0.555514,2.430872
ENSMUSG00000060227,Casc4,protein-coding,5.425652,6.127727,8.525023
,Ccr9,protein-coding,5.923992,2.416788,6.004602
ENSMUSG00000096019,Snord116,snoRNA,4.577539,1.878629,2.809412
ENSMUSG00000058793,Cds2,protein-coding,3.782714,7.804656,6.9335
ENSMUSG00000029283,Cdc7,protein-coding,11.539806,8.60391,9.551362
ENSMUSG00000030208,Emp1,protein-coding,3.823368,5.981874,6.549697
ENSMUSG00000096304,Gm16451,protein-coding,3.694202,4.329749,6.022074
ENSMUSG00000094916,Gm26391,rRNA,4.618299,2.066469,2.17336
ENSMUSG00000028008,Asic5,protein-coding,9.991304,5.039218,2.84437
ENSMUSG00000062483,Vmn1r171,protein-coding,5.331216,4.947044,4.645896
ENSMUSG00000090260,2810442N19Rik,ncRNA,4.63205,7.897937,8.013806
ENSMUSG00000090150,Acad11,protein-coding,2.499072,1.403674,4.653371
ENSMUSG00000036860,Mrpl55,protein-coding,6.176928,5.279033,5.647412
ENSMUSG00000060147,Serpinb6a,protein-coding,5.167915,6.318796,6.668156
ENSMUSG00000026027,Stradb,protein-coding,5.331216,2.043958,4.030212
ENSMUSG00000061701,Fbxw20,protein-coding,5.924097,5.686195,6.692507
ENSMUSG00000002107,Celf2,protein-coding,2.482173,2.943023,3.374504
ENSMUSG00000046152,Fut10,protein-coding,5.331216,4.011275,2.810709
ENSMUSG00000070890,Gm12794,protein-coding,11.539806,5.57645,6.432745
ENSMUSG00000097960,A330074K22Rik,ncRNA,1.543347,-0.278989,1.670697
ENSMUSG00000035678,Tnfsf9,protein-coding,6.10715,10.957398,10.471119
ENSMUSG00000058291,Zfp68,protein-coding,9.30991,6.671919,7.467415
ENSMUSG00000022946,Dopey2,protein-coding,6.179433,5.360404,6.092533
ENSMUSG00000094107,Vmn2r47,protein-coding,2.845984,1.409897,1.122976
ENSMUSG00000074829,2010315B03Rik,protein-coding,0.543806,3.909356,3.761774
ENSMUSG00000093993,Gm20736,protein-coding,5.425652,7.480267,8.766016
ENSMUSG00000064065,Ipcef1,protein-coding,7.655653,3.38047,6.803415
,Hist1h3b,protein-coding,1.297482,1.596066,0.729086
ENSMUSG00000020419,Hormad2,protein-coding,6.107046,8.779958,9.970364
ENSMUSG00000052632,Asap2,protein-coding,4.577539,7.409049,7.341468
,Cast,protein-coding,4.673929,-0.213793,0.877984
ENSMUSG00000042660,Wdr55,protein-coding,3.878374,5.136698,7.416081
ENSMUSG00000086025,4933406G16Rik,ncRNA,2.974168,0.79429,4.886889
ENSMUSG00000021661,Ankra2,protein-coding,5.425757,4.762381,7.315914
ENSMUSG00000070837,Aurkc,protein-coding,4.63205,1.769592,3.694286
ENSMUSG00000073735,Defb18,protein-coding,2.79101,1.505145,3.046527
ENSMUSG00000096834,Gm15127,protein-coding,8.300898,6.847682,8.113497
ENSMUSG00000078554,Fam229a,protein-coding,4.028579,7.374761,8.369699
ENSMUSG00000073684,Faap20,protein-coding,4.028579,4.40065,4.99488
ENSMUSG00000063952,Brpf3,protein-coding,6.10715,3.469868,5.391197
ENSMUSG00000096492,Mir467a-4,ncRNA,2.474435,1.89521,5.54818
ENSMUSG00000029464,Gpn3,protein-coding,6.10715,7.410135,8.545815
ENSMUSG00000039607,Rbms3,protein-coding,5.170421,8.198207,8.525023
ENSMUSG00000091956,C2cd4b,protein-coding,2.402155,6.377481,5.019131
ENSMUSG00000017679,Ttpal,protein-coding,4.577539,3.417369,6.495028
ENSMUSG00000027598,Itch,protein-coding,6.107046,2.189767,4.734081
ENSMUSG00000079013,Serpina3j,protein-coding,6.071002,1.776353,2.179878
ENSMUSG00000094144,Gm21312,protein-coding,6.752396,5.624915,6.421711
ENSMUSG00000021959,Lats2,protein-coding,6.179329,3.371008,3.792828
ENSMUSG00000048482,Bdnf,protein-coding,4.525071,5.610588,7.07753
ENSMUSG00000024963,Dnajc4,protein-coding,8.556234,6.787214,7.315914
ENSMUSG00000043251,Exoc3l,protein-coding,2.886743,4.238569,5.648709
ENSMUSG00000038085,Cnbd2,protein-coding,8.556234,2.926348,4.165471
ENSMUSG00000028622,Mrpl37,protein-coding,5.577081,4.242744,5.647412
ENSMUSG00000080409,Mir467h,ncRNA,2.402155,-2.14955,-0.460101
,Trpc5os,protein-coding,5.57468,2.275313,4.326113
,Gm20556,ncRNA,8.556234,9.570078,10.633918
ENSMUSG00000019054,Fis1,protein-coding,7.506072,2.921022,4.318268
ENSMUSG00000005540,Fcer2a,protein-coding,8.556234,2.926348,3.227962
ENSMUSG00000054537,Tmprss11e,protein-coding,2.132962,2.991121,4.330289
ENSMUSG00000022773,Ypel1,protein-coding,3.621919,1.479815,6.159925
ENSMUSG00000097378,B230208H11Rik,ncRNA,9.237627,2.638916,5.710979
ENSMUSG00000042632,Pla2g6,protein-coding,6.107046,2.447747,3.342862
ENSMUSG00000050608,Minos1,protein-coding,7.15916,4.697651,7.865028
